,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,booking_ratio,total_amenities
3082,within an hour,100,100,t,t,t,Long Island City,Private room in home,Private room,2,1.0,1 private bath,1.0,2.0,130.0,5,30,5.0,4.83,4.9,4.96,4.95,4.79,4.79,f,0.5643835616438356,55
3087,within a day,90,13,f,t,f,Upper East Side,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,300.0,3,160,3.0,4.33,3.89,4.63,4.61,4.76,4.28,f,0.3698630136986301,21
3183,within an hour,100,75,t,t,t,Bedford-Stuyvesant,Private room in rental unit,Private room,2,1.5,1.5 shared baths,1.0,1.0,67.0,10,365,1000.0,4.8,4.69,4.94,4.89,4.34,4.63,f,0.273972602739726,30
3216,within a few hours,100,86,t,t,t,Harlem,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,77.0,5,1125,5.0,4.84,4.81,4.93,4.95,4.82,4.8,f,0.1643835616438356,36
3289,within an hour,100,90,t,t,t,Crown Heights,Private room in home,Private room,4,1.0,1 shared bath,1.0,1.0,130.0,1,90,1.0,4.77,4.53,4.97,4.97,4.67,4.82,f,0.2356164383561644,12
3306,within a day,100,90,t,t,t,Bedford-Stuyvesant,Entire home,Entire home/apt,2,1.0,1 bath,2.0,2.0,174.0,3,1125,3.0,4.75,4.8,4.9,4.84,4.47,4.7,f,0.1945205479452054,25
3367,within a day,100,77,t,t,t,Harlem,Entire guest suite,Entire home/apt,2,1.0,1 bath,0.0,1.0,252.0,4,200,4.0,4.93,4.8,5.0,5.0,4.87,4.93,f,0.1013698630136986,39
3418,within an hour,100,99,f,t,f,Harlem,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,159.0,4,29,4.0,4.55,4.38,4.71,4.77,4.3,4.46,f,0.3424657534246575,31
3425,within an hour,100,100,f,t,t,Kensington,Private room in home,Private room,2,2.0,2 baths,4.0,4.0,399.0,2,365,2.0,4.86,4.57,5.0,5.0,5.0,4.86,f,0.2547945205479452,69
3450,within an hour,100,97,t,t,t,DUMBO,Entire guest suite,Entire home/apt,2,1.0,1 bath,2.0,2.0,284.0,4,18,4.0,4.89,4.9,4.96,4.96,4.93,4.76,f,0.6986301369863014,31
3524,within an hour,100,100,f,t,t,Sheepshead Bay,Private room in home,Private room,2,1.0,1 private bath,2.0,3.0,156.0,3,90,3.0,4.68,4.76,4.81,4.75,4.68,4.74,t,0.0191780821917808,51
3587,within an hour,97,58,t,t,t,Harlem,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,94.0,1,65,1.0,4.75,4.81,4.69,4.85,4.74,4.77,f,0.421917808219178,37
3641,within a few hours,100,98,t,t,t,Fort Greene,Private room in townhouse,Private room,2,1.5,1.5 baths,1.0,2.0,192.0,2,30,2.0,4.96,4.94,4.96,4.97,4.98,4.87,f,0.5452054794520548,44
